"Players","HR.Career"
"aaronha01",0.0111850194811929
"mayswi01",0.00977763292395668
"ruthba01",0.00912579072902624
"robinfr02",0.00868135286884639
"killeha01",0.00848876312943512
"jacksre01",0.00834061717604184
"schmimi01",0.00811839824595191
"mantlmi01",0.00794062310187997
"foxxji01",0.00791099391120132
"mccovwi01",0.00771840417179005
"bankser01",0.00758507281373609
"matheed01",0.00758507281373609
"ottme01",0.00757025821839676
"willite01",0.0073776684789855
"gehrilo01",0.00730359550228886
"musiast01",0.00703693278618095
"stargwi01",0.00703693278618095
"yastrca01",0.00669619709337639
"kingmda01",0.00654805113998311
"willibi01",0.00631101761455386
"evansda01",0.00613324247048192
"snidedu01",0.00602954030310662
"kalinal01",0.00591102354039199
"nettlgr01",0.00577769218233804
"benchjo01",0.00576287758699871
"howarfr01",0.00565917541962341
"riceji01",0.00565917541962341
"cepedor01",0.00561473163360543
"perezto01",0.00561473163360543
"cashno01",0.00558510244292677
"colavro01",0.00554065865690879
"hodgegi01",0.00548140027555147
"kinerra01",0.00546658568021214
"evansdw01",0.00542214189419416
"dimagjo01",0.00534806891749752
"mizejo01",0.00531843972681886
"berrayo01",0.00530362513147953
"winfida01",0.00528881053614021
"mayle01",0.00524436675012222
"murphda05",0.00524436675012222
"murraed02",0.00522955215478289
"allendi01",0.00519992296410424
"fostege01",0.00515547917808625
"santoro01",0.00506659160605028
"powelbo01",0.0050221478200323
"baylodo01",0.00500733322469297
"adcocjo01",0.00497770403401431
"fiskca01",0.00497770403401431
"bondsbo01",0.004918445652657
"greenha01",0.00490363105731767
"hortowi01",0.0048147434852817
"dawsoan01",0.00472585591324573
"sievero01",0.0047110413179064
"ceyro01",0.00468141212722775
"smithre06",0.00465178293654909
"luzingr01",0.00454808076917379
"parkeda01",0.00454808076917379
"simmoal01",0.00454808076917379
"cartega01",0.00450363698315581
"hornsro01",0.00444437860179849
"kleinch01",0.00444437860179849
"lynnfr01",0.00444437860179849
"staubru01",0.00432586183908387
"wynnji01",0.00431104724374454
"ennisde01",0.00426660345772655
"johnsbo01",0.00426660345772655
"sauerha01",0.00426660345772655
"thomafr03",0.0042369742670479
"boyerke01",0.00417771588569058
"clarkja01",0.00417771588569058
"kluszte01",0.0041332720996726
"yorkru01",0.00410364290899394
"marisro01",0.00407401371831528
"garvest01",0.0040295699322973
"scottge02",0.00401475533695797
"morgajo02",0.00397031155093999
"robinbr01",0.00397031155093999
"thomago01",0.00397031155093999
"brettge01",0.00395549695560066
"hendrge01",0.00395549695560066
"wertzvi01",0.00394068236026133
"thomsbo01",0.00391105316958267
