"playerID","yearID","teamID","lgID","HR","AB","Age","park","POS","N_i","E","B1","B2","B3"
"vaughmo01",1995,"BOS","AL",39,550,28,"Fenway Park II","1B",12,"1",0.442822583951782,0.199270162778302,0.0298905244167453
"vaughmo01",1996,"BOS","AL",44,635,29,"Fenway Park II","1B",12,"1",0.444052646684981,0.233711919307885,0.0410020911066464
"vaughmo01",1997,"BOS","AL",35,527,30,"Fenway Park II","1B",12,"1",0.438394358112264,0.267907663290828,0.0545737832629464
"vaughmo01",1998,"BOS","AL",40,609,31,"Fenway Park II","1B",12,"1",0.426585755873549,0.301119357087211,0.070851613432285
"vaughmo01",1999,"ANA","AL",33,524,32,"Angels Stadium of Anaheim","1B",12,"1",0.409364877608758,0.332608963057116,0.0900815941613022
"vaughmo01",2000,"ANA","AL",36,614,33,"Angels Stadium of Anaheim","1B",12,"1",0.387469760957809,0.361638443560622,0.112509737996638
"vaughmo01",2002,"NYN","NL",26,487,35,"Shea Stadium","1B",12,"1",0.332608963057116,0.409364877608758,0.167944565172824
"vaughmo01",2003,"NYN","NL",3,79,36,"Shea Stadium","1B",12,"0",0.301119357087211,0.426585755873549,0.201443273606954
"vazqura01",2002,"SDN","NL",2,423,26,"Qualcomm Stadium","2B",3,"0",0.416745254007954,0.132600762638895,0.0140637172495797
"vazqura01",2003,"SDN","NL",3,422,27,"Qualcomm Stadium","SS",3,"0",0.433966132272746,0.165320431341998,0.020993070646603
"vazqura01",2004,"SDN","NL",1,115,28,"Petco Park","SS",3,"0",0.442822583951782,0.199270162778302,0.0298905244167453
"velarra01",1990,"NYA","AL",5,229,28,"Yankee Stadium II","3B",13,"0",0.442822583951782,0.199270162778302,0.0298905244167453
"velarra01",1991,"NYA","AL",1,184,29,"Yankee Stadium II","3B",13,"0",0.444052646684981,0.233711919307885,0.0410020911066464
"velarra01",1992,"NYA","AL",7,412,30,"Yankee Stadium II","SS",13,"0",0.438394358112264,0.267907663290828,0.0545737832629464
"velarra01",1993,"NYA","AL",7,226,31,"Yankee Stadium II","LF",13,"0",0.426585755873549,0.301119357087211,0.070851613432285
