"playerID","yearID","teamID","lgID","HR","AB","Age","park","POS","N_i","E","B1","B2","B3"
"shealry01",2006,"KCA","AL",7,193,27,"Kauffman Stadium","1B",2,"0",0.433966132272746,0.165320431341998,0.020993070646603
"sheffga01",2006,"NYA","AL",6,151,38,"Yankee Stadium II","RF",19,"0",0.233711919307885,0.444052646684981,0.281233342900488
"sheltch01",2006,"DET","AL",16,373,26,"Comerica Park","1B",2,"0",0.416745254007954,0.132600762638895,0.0140637172495797
"shoppke01",2006,"CLE","AL",3,110,26,"Progressive Field","C",1,"0",0.416745254007954,0.132600762638895,0.0140637172495797
"sizemgr01",2006,"CLE","AL",28,655,24,"Progressive Field","CF",3,"0",0.354258067161425,0.0738037639919636,0.00512526138833081
"smithja05",2006,"COL","NL",5,99,29,"Coors Field","2B",2,"1",0.444052646684981,0.233711919307885,0.0410020911066464
"snellch02",2006,"SEA","AL",3,96,25,"Safeco Field","RF",1,"0",0.390421911517487,0.10184919430891,0.00885645167903563
"snydech02",2006,"ARI","NL",6,184,25,"Chase Field","C",3,"0",0.390421911517487,0.10184919430891,0.00885645167903563
"soriaal01",2006,"WAS","NL",46,647,30,"R.F.K. Stadium","LF",6,"1",0.438394358112264,0.267907663290828,0.0545737832629464
"spiezsc01",2006,"SLN","NL",13,276,34,"Busch Stadium III","3B",9,"0",0.361638443560622,0.387469760957809,0.138382057484932
"spilbry01",2006,"COL","NL",4,167,27,"Coors Field","CF",1,"0",0.433966132272746,0.165320431341998,0.020993070646603
"stairma01",2006,"TEX","AL",3,81,38,"Ameriquest Field","DH",13,"0",0.233711919307885,0.444052646684981,0.281233342900488
"stairma01",2006,"KCA","AL",8,226,38,"Kauffman Stadium","DH",13,"0",0.233711919307885,0.444052646684981,0.281233342900488
"stewash01",2006,"MIN","AL",2,174,32,"Hubert H Humphrey Metrodome","LF",11,"0",0.409364877608758,0.332608963057116,0.0900815941613022
"stinnke01",2006,"NYA","AL",1,79,36,"Yankee Stadium II","C",10,"0",0.301119357087211,0.426585755873549,0.201443273606954
"sullico01",2006,"COL","NL",2,386,27,"Coors Field","CF",2,"0",0.433966132272746,0.165320431341998,0.020993070646603
"suzukic01",2006,"SEA","AL",9,695,33,"Safeco Field","RF",6,"0",0.387469760957809,0.361638443560622,0.112509737996638
"sweenma01",2006,"SFN","NL",5,259,37,"AT&T Park","1B",9,"0",0.267907663290828,0.438394358112264,0.239124195333962
"sweenmi01",2006,"KCA","AL",8,217,33,"Kauffman Stadium","DH",11,"0",0.387469760957809,0.361638443560622,0.112509737996638
