"1",1,14,3,19,11,3,1,6,7,0,1,3,1,2,8,4,16,14,7,13,2,0,11,3,3,2,0,5,0,0,21,0,12,12,3,4,29,4,3,5,22,4,12,12,8,16,3,14,7,5,19,8,1,1,15
"1",0,15,2,16,17,1,7,7,1,0,1,3,1,0,4,4,14,23,12,10,7,0,11,2,5,1,0,12,0,1,23,0,11,14,3,1,27,4,0,5,14,1,17,12,7,11,0,13,1,4,9,3,0,0,27
"1",0,9,1,19,16,3,4,0,4,0,0,6,4,1,2,5,22,19,8,10,7,0,4,2,0,0,1,16,0,0,26,2,11,10,8,0,31,4,2,5,22,1,16,12,12,10,2,20,3,1,16,7,0,0,32
"1",2,22,1,19,13,2,1,3,1,0,0,7,0,0,2,2,20,13,5,11,11,0,10,5,3,0,1,10,1,0,15,0,12,18,13,0,18,1,2,9,24,1,19,13,18,8,1,11,2,3,22,2,2,0,28
"1",5,3,0,17,18,2,4,3,1,1,0,3,2,1,6,3,13,14,8,10,6,1,12,2,2,4,0,4,1,1,14,2,14,7,7,0,27,3,3,5,20,0,7,11,11,10,1,12,5,3,20,6,1,0,28
"1",2,9,0,16,11,0,4,3,0,0,1,2,2,0,10,2,23,17,17,11,7,0,4,3,1,1,1,9,1,2,17,2,11,12,7,1,17,2,4,14,22,2,12,12,12,8,1,23,5,6,17,8,0,0,34
"1",4,15,2,16,9,2,4,5,1,0,2,6,0,1,4,2,13,20,16,18,8,0,5,1,4,0,1,13,0,0,21,1,19,9,17,0,26,2,3,9,21,4,21,8,14,10,0,14,2,7,17,3,1,1,31
"1",5,17,2,16,32,3,0,7,0,0,0,5,2,2,9,2,9,18,14,13,4,0,9,1,3,1,0,9,1,0,17,1,20,7,8,0,31,3,3,10,21,1,21,6,21,10,2,19,7,2,14,5,1,1,24
"1",2,15,0,14,24,2,0,4,2,1,1,5,1,1,10,1,8,15,11,11,6,1,7,4,2,1,0,13,1,0,24,0,10,10,8,1,17,2,0,7,27,1,19,11,14,18,5,11,5,4,10,6,2,0,28
"1",1,10,1,15,21,3,4,6,0,1,1,4,1,0,4,3,11,22,7,11,8,0,3,3,3,1,1,9,0,0,14,0,16,11,10,1,22,2,2,9,24,1,16,13,21,7,3,11,4,3,9,9,1,0,19
