"1",4,4,5,1,15,1,1,12,7,0,9,0,3,4,28,2,0,1,3,1,3,6,2,1,28,16,29,1,19,1,0,1,6,9,7,7,18,3,3,0,8,0,7,5,10,2,6,16,2,1,25,14,1,0,22,5,3,19,17,1,2,1,2
"1",2,9,1,1,14,1,1,10,4,0,10,1,1,1,31,4,0,3,1,3,1,3,4,3,38,8,15,4,12,1,2,1,7,21,8,5,13,2,1,0,19,0,2,4,4,1,3,8,5,3,36,12,4,1,19,0,2,25,11,2,2,3,3
"1",4,10,1,0,14,0,1,8,5,2,8,0,2,3,28,0,2,1,4,2,0,5,3,3,20,7,18,5,19,0,1,0,1,22,8,7,16,9,3,1,21,3,4,3,5,2,2,10,6,5,27,23,5,1,26,3,1,32,14,2,2,2,2
"1",2,2,1,0,12,0,2,14,3,2,15,0,1,5,33,4,2,0,5,2,1,0,1,1,40,10,21,6,22,2,0,0,7,21,4,11,18,1,2,1,14,0,1,2,5,0,1,15,1,1,26,15,1,1,33,4,4,37,20,1,5,1,5
"1",4,3,5,1,9,0,2,15,4,2,8,1,4,0,29,2,1,2,9,0,1,2,6,1,28,11,18,1,16,3,4,0,4,15,3,6,19,3,2,0,9,1,3,5,5,2,2,7,5,1,22,13,0,7,20,1,3,35,13,1,1,1,1
"1",1,9,2,1,12,2,1,16,4,4,9,1,0,1,26,6,2,3,5,0,0,5,2,3,25,12,17,3,16,1,3,0,2,24,5,6,12,3,2,1,15,0,2,6,6,4,2,10,7,1,41,9,2,1,18,4,3,33,29,3,6,3,1
"1",1,6,2,0,13,0,2,22,5,3,8,1,1,2,16,4,0,2,4,2,0,4,4,0,20,11,17,2,20,1,2,2,1,14,3,5,31,4,2,1,20,1,14,4,5,1,2,9,5,1,30,9,2,3,40,2,4,38,18,1,6,4,0
"1",3,8,2,2,20,0,2,15,3,3,7,1,5,0,24,5,0,1,2,0,1,8,2,3,23,5,19,1,16,2,2,2,0,18,4,1,18,1,0,0,15,1,1,5,5,0,2,7,12,0,29,13,0,2,32,2,3,39,15,0,5,3,2
"1",0,7,1,1,19,0,1,6,7,5,6,0,0,4,21,5,0,2,2,1,1,2,1,5,29,11,23,4,13,5,0,1,2,19,5,7,17,4,1,1,14,1,3,3,6,0,3,15,4,1,41,6,2,1,21,4,3,39,17,1,4,2,0
"1",3,7,1,2,22,1,0,6,4,1,9,4,3,5,15,3,1,3,7,0,1,4,2,2,23,9,17,4,23,0,2,2,0,15,4,4,26,3,3,0,12,1,3,9,9,2,3,11,5,3,48,10,0,1,26,7,1,24,14,2,1,3,3
