"1",2,20,2,17,15,1,4,42,10,0,3,12,1,13,6,10,3,2,8,1,6,26,7,21,4,11,1,12,14,1,0,1,11,17,0,13,13,9,17,0,11,2,4,1,19,1,5,11,3,11,2,17,4,32,20,10,2,5,10,2,3,1,8,32,2,2,3,17,4,3,0,19,6,8,0,4,13,5,0,9,1,0,26,1
"1",1,13,0,12,15,6,5,41,18,4,2,13,1,21,5,19,6,2,4,2,5,20,14,25,3,6,1,18,18,0,3,1,6,20,0,19,21,8,14,1,11,0,4,0,16,1,4,9,3,11,0,7,2,30,29,14,0,4,21,4,2,2,11,38,1,0,5,14,8,2,0,15,9,6,1,4,18,12,4,11,1,0,31,1
"1",1,25,4,5,13,1,8,27,15,2,3,10,1,21,7,19,5,1,4,3,2,34,10,26,1,4,2,8,16,1,2,0,5,17,0,20,11,10,24,1,11,2,4,2,16,0,2,8,6,3,0,17,5,38,28,4,0,8,21,2,5,0,24,30,3,4,4,18,8,4,0,11,13,2,0,10,28,8,1,8,3,0,22,1
"1",1,20,3,13,22,1,2,41,23,1,1,6,3,17,7,15,3,1,3,1,4,34,8,26,3,9,0,14,16,1,0,0,11,13,0,27,20,5,12,1,14,4,4,3,20,0,2,12,0,3,1,27,3,25,19,10,0,4,14,2,4,2,6,32,3,0,2,14,5,1,2,12,6,9,1,5,20,7,0,6,6,1,22,2
"1",2,13,0,9,21,3,8,48,16,3,1,10,0,12,13,9,0,4,6,0,3,38,13,31,2,6,0,17,17,1,4,0,14,2,1,19,32,0,32,3,13,4,8,0,21,2,2,10,1,9,1,15,6,30,26,7,2,7,13,3,1,0,5,28,0,3,4,22,5,3,1,29,6,6,0,14,13,15,2,8,2,0,17,2
"1",1,21,7,9,25,2,5,41,18,3,2,6,2,23,5,8,6,0,12,2,6,22,12,15,4,9,2,15,16,0,0,0,8,11,1,20,18,3,19,1,13,0,5,0,19,2,3,6,3,7,2,18,3,21,30,17,1,7,26,1,0,1,7,23,1,1,7,14,3,3,0,15,3,3,2,6,17,10,2,6,2,0,29,1
"1",1,13,0,16,26,3,4,34,19,3,3,4,3,16,11,14,1,0,4,2,8,23,21,14,1,7,1,14,20,1,0,2,7,13,0,23,15,6,9,1,15,2,7,2,24,2,3,14,4,8,1,15,4,39,24,14,0,6,13,0,2,6,6,29,2,1,5,12,8,2,0,19,4,4,0,6,20,6,2,12,4,0,27,3
"1",0,12,3,13,30,14,2,42,17,1,4,12,4,23,17,9,2,1,8,1,7,32,14,11,3,8,1,19,26,2,0,0,13,17,1,22,9,6,20,0,13,1,9,0,14,0,7,17,2,9,1,23,3,33,29,14,3,2,13,4,3,7,11,30,2,1,1,22,8,2,1,32,4,6,0,8,15,5,0,5,6,0,31,3
"1",2,16,3,14,20,1,7,33,20,5,1,12,2,16,10,21,3,0,7,1,3,34,14,14,3,16,3,13,21,0,4,0,14,15,0,20,13,2,14,3,16,1,5,0,15,2,1,13,5,9,1,15,4,39,24,11,0,7,10,7,3,0,10,28,3,8,3,16,6,4,1,20,7,9,0,9,24,5,2,11,2,0,23,1
"1",3,14,1,12,26,2,8,36,15,2,0,11,1,22,8,14,9,0,9,2,3,28,12,10,1,12,0,13,14,1,2,0,13,11,0,22,12,5,15,1,19,2,4,1,20,1,3,17,3,8,0,16,4,51,38,8,0,4,15,2,3,3,15,31,2,1,5,15,4,3,2,21,5,1,1,11,17,8,1,4,0,0,20,3
